Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
1AG,20 Jul 2016,.051,.051,.05,.05,258412
1PG,20 Jul 2016,.44,.445,.437,.44,137455
3DP,20 Jul 2016,.045,.045,.045,.045,125000
88E,20 Jul 2016,.035,.035,.034,.035,2352958
88EO,20 Jul 2016,.025,.025,.025,.025,65894
8IH,20 Jul 2016,.79,.8,.79,.8,2600
A2M,20 Jul 2016,1.855,1.87,1.855,1.865,449703
A2MKOD,20 Jul 2016,.565,.565,.565,.565,1070
AAA,20 Jul 2016,50.13,50.14,50.13,50.13,13071
AAC,20 Jul 2016,1.95,1.98,1.95,1.975,327869
AAD,20 Jul 2016,2.07,2.09,2.045,2.05,221250
AAJ,20 Jul 2016,.015,.015,.014,.014,2011038
ABA,20 Jul 2016,5.12,5.13,5.12,5.13,1454
ABC,20 Jul 2016,5.85,5.885,5.83,5.88,100343
ABP,20 Jul 2016,3.17,3.18,3.12,3.18,29995
ABT,20 Jul 2016,.85,.85,.85,.85,1477
ABU,20 Jul 2016,.125,.135,.12,.125,988116
ABV,20 Jul 2016,.011,.011,.011,.011,2656641
ABX,20 Jul 2016,.195,.195,.195,.195,44463
ACB,20 Jul 2016,.036,.036,.036,.036,61027
ACG,20 Jul 2016,.14,.14,.14,.14,42882
ACL,20 Jul 2016,.011,.011,.011,.011,52731
ACR,20 Jul 2016,.73,.745,.73,.74,27202
ACW,20 Jul 2016,.074,.074,.074,.074,30000
ACX,20 Jul 2016,8.11,8.43,8.11,8.42,169394
AD1,20 Jul 2016,.51,.51,.48,.48,33724
ADA,20 Jul 2016,3.385,3.44,3.38,3.4,40946
ADD,20 Jul 2016,.018,.018,.018,.018,50000
ADH,20 Jul 2016,2.34,2.34,2.34,2.34,1
ADJ,20 Jul 2016,.12,.12,.12,.12,4166
ADN,20 Jul 2016,.024,.025,.024,.025,82900
ADO,20 Jul 2016,.042,.042,.042,.042,21666
ADR,20 Jul 2016,.5,.52,.5,.52,54182
ADV,20 Jul 2016,.025,.026,.024,.025,981718
ADX,20 Jul 2016,.006,.006,.006,.006,63372
ADY,20 Jul 2016,.01,.01,.01,.01,10000
AEF,20 Jul 2016,88,88,87,87,18
AEG,20 Jul 2016,1.16,1.16,1.16,1.16,4928
AFG,20 Jul 2016,1,1.02,1,1.02,85829
AFI,20 Jul 2016,5.71,5.73,5.7,5.73,75897
AFR,20 Jul 2016,.043,.043,.043,.043,50000
AFY,20 Jul 2016,2.31,2.4,2.28,2.38,69648
AGF,20 Jul 2016,.88,.885,.88,.885,54038
AGG,20 Jul 2016,5.43,5.6,5.43,5.6,1985
